subject,predicate,object,root,synonyms
hydroxy groups,are involved,mdash H,involve,"{'involve', 'affect', 'demand', 'postulate', 'ask', 'take', 'regard', 'require', 'necessitate', 'imply', 'need'}"
Ni atom,is chelated,dianionic pentadentate,chelate,{'chelate'}
ZnII atom,is bonded,O atoms,bond,"{'adhere', 'bond', 'tie', 'stick', 'attach', 'bind'}"
NCCN groups,subtend,dihedral angle,subtend,"{'subtend', 'delimit'}"
crystal structure,are connected,mdash H,connect,"{'colligate', 'join', 'relate', 'connect', 'tie', 'unite', 'associate', 'link'}"
asymmetric unit,is,N atoms,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title compound,were obtained,recrystallization from methanol,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}"
MoVI atom,is coordinated,O atoms,coordinate,"{'coordinate', 'organise', 'align', 'ordinate', 'organize'}"
coordination sphere,is completed,methanol molecule,complete,"{'finish', 'dispatch', 'discharge', 'nail', 'complete'}"
methanol molecule,yielding,distorted octahedron,yield,"{'generate', 'give', 'concede', 'yield', 'render', 'grant', 'afford', 'cede', 'relent', 'succumb', 'soften'}"
hydrogen bonds,link,organic cations,link,"{'colligate', 'yoke', 'join', 'relate', 'connect', 'tie', 'unite', 'associate', 'link'}"
Cl hydrogen bonds,link,uncoordinated chloride ion,link,"{'colligate', 'yoke', 'join', 'relate', 'connect', 'tie', 'unite', 'associate', 'link'}"
title compound,is stabilized,mdash H,stabilize,"{'brace', 'steady', 'stabilise', 'stabilize'}"
methylsulfinyl substituent,are located,opposite sides,locate,"{'place', 'settle', 'site', 'situate', 'locate'}"
methyl group of the methylsulfinyl substituent,are located,opposite sides of the plane,locate,"{'place', 'settle', 'site', 'situate', 'locate'}"
benzofuran plane,indicated,dihedral angle,indicate,"{'betoken', 'bespeak', 'suggest', 'signal', 'show', 'argue', 'indicate', 'point'}"
crystal structure,exhibits,C mdash,exhibit,"{'demonstrate', 'parade', 'expose', 'exhibit', 'show', 'display', 'march', 'present', 'demo'}"
title compound,is composed,pyrazole ring,compose,"{'write', 'compile', 'frame', 'indite', 'compose', 'pen'}"
S atom,is bonded,tetrahedral geometry,bond,"{'adhere', 'bond', 'tie', 'stick', 'attach', 'bind'}"
maximum deviation,forms,dihedral angle,form,"{'forge', 'spring', 'form', 'mold', 'shape', 'organise', 'mould', 'imprint', 'constitute', 'organize'}"
pairs of molecules,are linked,mdash H,link,"{'colligate', 'yoke', 'join', 'relate', 'connect', 'tie', 'unite', 'associate', 'link'}"
pyrrole rings,are inclined,propanol chain,incline,"{'lean', 'incline', 'pitch', 'tend', 'slope', 'dispose'}"
propanol chain,is,extended conformation,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
NH groups,are involved,mdash H,involve,"{'involve', 'affect', 'demand', 'postulate', 'ask', 'take', 'regard', 'require', 'necessitate', 'imply', 'need'}"
two pyrrole NH groups,are involved,N mdash H,involve,"{'involve', 'affect', 'demand', 'postulate', 'ask', 'take', 'regard', 'require', 'necessitate', 'imply', 'need'}"
crystal structure,is,H atom,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
interesting feature of the crystal structure,is,conventional hydrogen bonds,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title molecule,features,E conformation,feature,"{'feature', 'sport', 'boast', 'have'}"
crystal structure,is consolidated,mdash H,consolidate,{'consolidate'}
methylsulfanyl group,show,aromatic  pi  ,show,"{'shew', 'prove', 'reveal', 'display', 'show', 'depict', 'express', 'point', 'establish', 'exhibit', 'render', 'demo', 'demonstrate', 'testify', 'picture', 'evidence', 'evince', 'indicate', 'present'}"
methylsulfanyl group,stacking,aromatic  pi  ,stack,"{'stack', 'heap', 'pile'}"
