subject,predicate,object,root,synonyms
hydroxy groups,are involved,mdash H,involve,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
Ni atom,is chelated,dianionic pentadentate,chelate,{'chelate'}
ZnII atom,is bonded,O atoms,bond,"{'tie', 'bond', 'attach', 'bind', 'stick', 'adhere'}"
NCCN groups,subtend,dihedral angle,subtend,"{'subtend', 'delimit'}"
crystal structure,are connected,mdash H,connect,"{'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
asymmetric unit,is,N atoms,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,were obtained,recrystallization from methanol,obtain,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
MoVI atom,is coordinated,O atoms,coordinate,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
coordination sphere,is completed,methanol molecule,complete,"{'dispatch', 'nail', 'discharge', 'complete', 'finish'}"
methanol molecule,yielding,distorted octahedron,yield,"{'concede', 'generate', 'soften', 'cede', 'relent', 'grant', 'render', 'succumb', 'yield', 'afford', 'give'}"
hydrogen bonds,link,organic cations,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
Cl hydrogen bonds,link,uncoordinated chloride ion,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
title compound,is stabilized,mdash H,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
methylsulfinyl substituent,are located,opposite sides,locate,"{'site', 'situate', 'place', 'settle', 'locate'}"
methyl group of the methylsulfinyl substituent,are located,opposite sides of the plane,locate,"{'site', 'situate', 'place', 'settle', 'locate'}"
benzofuran plane,indicated,dihedral angle,indicate,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
crystal structure,exhibits,C mdash,exhibit,"{'exhibit', 'parade', 'show', 'expose', 'display', 'present', 'demo', 'march', 'demonstrate'}"
title compound,is composed,pyrazole ring,compose,"{'compile', 'pen', 'compose', 'write', 'indite', 'frame'}"
S atom,is bonded,tetrahedral geometry,bond,"{'tie', 'bond', 'attach', 'bind', 'stick', 'adhere'}"
