subject,predicate,pred freq,object,root,root freq,synonyms
hydroxy groups,are involved,14,mdash H,involve,37,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
Ni atom,is chelated,3,dianionic pentadentate,chelate,5,{'chelate'}
ZnII atom,is bonded,8,O atoms,bond,13,"{'tie', 'bond', 'attach', 'bind', 'stick', 'adhere'}"
NCCN groups,subtend,1,dihedral angle,subtend,1,"{'subtend', 'delimit'}"
crystal structure,are connected,20,mdash H,connect,34,"{'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
asymmetric unit,is,708,N atoms,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,were obtained,7,recrystallization from methanol,obtain,41,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
MoVI atom,is coordinated,44,O atoms,coordinate,60,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
coordination sphere,is completed,7,methanol molecule,complete,9,"{'dispatch', 'nail', 'discharge', 'complete', 'finish'}"
methanol molecule,yielding,2,distorted octahedron,yield,12,"{'concede', 'generate', 'soften', 'cede', 'relent', 'grant', 'render', 'succumb', 'yield', 'afford', 'give'}"
hydrogen bonds,link,30,organic cations,link,88,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
Cl hydrogen bonds,link,30,uncoordinated chloride ion,link,88,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
title compound,is stabilized,27,mdash H,stabilize,46,"{'brace', 'stabilise', 'steady', 'stabilize'}"
methylsulfinyl substituent,are located,11,opposite sides,locate,24,"{'site', 'situate', 'place', 'settle', 'locate'}"
methyl group of the methylsulfinyl substituent,are located,11,opposite sides of the plane,locate,24,"{'site', 'situate', 'place', 'settle', 'locate'}"
benzofuran plane,indicated,4,dihedral angle,indicate,22,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
crystal structure,exhibits,20,C mdash,exhibit,25,"{'exhibit', 'parade', 'show', 'expose', 'display', 'present', 'demo', 'march', 'demonstrate'}"
title compound,is composed,5,pyrazole ring,compose,6,"{'compile', 'pen', 'compose', 'write', 'indite', 'frame'}"
S atom,is bonded,8,tetrahedral geometry,bond,13,"{'tie', 'bond', 'attach', 'bind', 'stick', 'adhere'}"
maximum deviation,forms,17,dihedral angle,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
pairs of molecules,are linked,42,mdash H,link,88,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
pyrrole rings,are inclined,3,propanol chain,incline,6,"{'lean', 'slope', 'incline', 'dispose', 'pitch', 'tend'}"
propanol chain,is,708,extended conformation,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
NH groups,are involved,14,mdash H,involve,37,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
two pyrrole NH groups,are involved,14,N mdash H,involve,37,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
crystal structure,is,708,H atom,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
interesting feature of the crystal structure,is,708,conventional hydrogen bonds,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title molecule,features,16,E conformation,feature,16,"{'boast', 'feature', 'have', 'sport'}"
crystal structure,is consolidated,3,mdash H,consolidate,8,{'consolidate'}
methylsulfanyl group,show,32,aromatic  pi  ,show,94,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
methylsulfanyl group,stacking,7,aromatic  pi  ,stack,10,"{'pile', 'heap', 'stack'}"
pyrrolidine substituent or a methylsulfanyl group,show,32,aromatic  pi  ndash  ,show,94,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
pyrrolidine substituent or a methylsulfanyl group,stacking,7,aromatic  pi  ndash  ,stack,10,"{'pile', 'heap', 'stack'}"
absolute configuration,was,146,title compound,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
absolute configuration,determined,33,title compound,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
Si frame,is,708,Si distance,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Si frame,has,89,Si distance,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
phenyl and benzene,are,282,maximum deviations,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
sulfonamide group,is involved,7,mdash H,involve,37,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
maximum resolution,depend,2,diffraction conditions,depend,12,"{'depend', 'count', 'bet', 'calculate', 'reckon'}"
biomacromolecular crystal quality,depend,2,experimental diffraction conditions,depend,12,"{'depend', 'count', 'bet', 'calculate', 'reckon'}"
plot method,are described,4,B factor,describe,24,"{'report', 'delineate', 'line', 'identify', 'distinguish', 'account', 'key', 'depict', 'name', 'draw', 'discover', 'describe', 'trace'}"
plot method,is shown,11,B factor,show,94,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
plot method,is,708,B factor,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
B factor,is,708,protein crystals,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Wilson plot method,are described,4,overall B factor,describe,24,"{'report', 'delineate', 'line', 'identify', 'distinguish', 'account', 'key', 'depict', 'name', 'draw', 'discover', 'describe', 'trace'}"
Wilson plot method,is shown,11,overall B factor,show,94,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
Wilson plot method,is,708,overall B factor,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
overall B factor,is,708,characterization of protein crystals,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
relative Wilson plot method,are described,4,overall B factor obtained from this plot,describe,24,"{'report', 'delineate', 'line', 'identify', 'distinguish', 'account', 'key', 'depict', 'name', 'draw', 'discover', 'describe', 'trace'}"
relative Wilson plot method,is shown,11,overall B factor obtained from this plot,show,94,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
relative Wilson plot method,is,708,overall B factor obtained from this plot,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
sulfite reductase,were,29,neutron diffraction,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
case of HEWL crystal quality,appears,5,region of the crystallization phase diagram,appear,11,"{'seem', 'appear', 'look'}"
case of HEWL crystal quality,be,101,region of the crystallization phase diagram,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,was,146,palladium center,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,determined,33,palladium center,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
two chloride ligands,are,282,classical hydrogen,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
two chloride ligands,involved,5,classical hydrogen,involve,37,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
Zn atoms,are bridged,2,carboxylate groups,bridge,4,{'bridge'}
Ce atom,is,708,irregular polyhedron,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
cobalt nitrate,occurred,1,reaction process,occur,12,"{'hap', 'occur', 'pass', 'happen'}"
bond lengths,are,282,heterocyclic ring,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,has,89,bond lengths,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
crystal packing,is,708,Waals interactions,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystal packing,stabilized,4,Waals interactions,stabilize,46,"{'brace', 'stabilise', 'steady', 'stabilize'}"
title compound,comprises,11,planar molecule,comprise,12,"{'represent', 'constitute', 'be', 'consist', 'comprise', 'incorporate', 'contain'}"
structure of the title compound,comprises,11,N mdash H,comprise,12,"{'represent', 'constitute', 'be', 'consist', 'comprise', 'incorporate', 'contain'}"
H atom,create,5,helical chains,create,8,"{'produce', 'make', 'create'}"
crystal structure,are involved,14,hydrogen bonds,involve,37,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
phosphinate O atoms,are involved,14,water molecule of crystallization,involve,37,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
title compound,contains,54,independent complexes,contain,69,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
asymmetric unit,consisting,4,solvent molecule,consist,41,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
two independent complexes in the asymmetric unit,consisting,4,one dimethylformamide solvent molecule,consist,41,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
triazine molecule,is disordered,6,two conformations within the crystal,disorder,16,"{'cark', 'perturb', 'trouble', 'disquiet', 'distract', 'unhinge', 'disorder', 'disarray'}"
triazine ring planes,being,15,partially occupied molecules,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
hydrogen bonds,maintains,2,crystal structure,maintain,7,"{'uphold', 'keep', 'assert', 'maintain', 'wield', 'preserve', 'asseverate', 'conserve', 'sustain', 'defend', 'exert', 'hold'}"
crystal structure,exist,1,centrosymmetric N,exist,11,"{'be', 'survive', 'live', 'subsist', 'exist'}"
title compound,is,708,crystallographic symmetry,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystal structure,involves,7,mdash H,involve,37,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
benzene rings,are rotated,2,opposite directions,rotate,8,"{'splay', 'rotate', 'revolve'}"
molecule of the title compound,are rotated,2,C mdash C,rotate,8,"{'splay', 'rotate', 'revolve'}"
crystal structure,are paired,1,mdash H,pair,1,"{'copulate', 'couple', 'pair', 'twin', 'match', 'mate', 'geminate'}"
bay area,forming,19,molecular chains,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
diethyl N,be considered,1,ester functionalities,consider,5,"{'study', 'deliberate', 'weigh', 'count', 'moot', 'debate', 'believe', 'consider', 'see', 'reckon', 'deal', 'think', 'conceive', 'view', 'regard'}"
diethyl N,being,15,ester functionalities,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
diethyl N,composed,1,ester functionalities,compose,6,"{'compile', 'pen', 'compose', 'write', 'indite', 'frame'}"
carbonyl groups,are,282,mdash C,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
b axis,are formed,13,C mdash,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
Infinite supramolecular tapes,are formed,13,soft C mdash,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
title molecule,is,708,all the rings being in the same plane,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
lateral chains,are,282,H atoms,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
lateral chains,excluding,1,H atoms,exclude,1,"{'exclude', 'expel', 'except', 'eject', 'omit', 'shut', 'bar', 'debar'}"
title compound,consists,35,symmetric moieties,consist,41,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
keto form,make,16,comparable contributions,make,58,"{'produce', 'make', 'do', 'create', 'cause', 'draw', 'stimulate', 'induce'}"
